id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
11419,Toncoin,TON,toncoin,592,2021-08-26T13:40:22.000Z,"['pos', 'layer-1', 'ftx-bankruptcy-estate', 'dwf-labs-portfolio', 'toncoin-ecosystem']",,2544830876.014811,5114836745.92401,True,,11,3414166606.0,16819962126.146633,,2024-11-08T23:49:00.000Z,4.926520602886663,221234698.37268493,-33.1684,0.24012157,0.1548961,0.67507228,-2.86630525,-5.8148046,-26.33914153,12537161741.549082,0.4853,25198348609.2,,2024-11-08T23:49:00.000Z,,,,,,2024-11-08 15:51:03.432661
5805,Avalanche,AVAX,avalanche,798,2020-07-13T00:00:00.000Z,"['defi', 'smart-contracts', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'avalanche-ecosystem', 'cms-holdings-portfolio', 'dragonfly-capital-portfolio', 'real-world-assets', 'layer-1']",715748719.0,407280932.68248624,447284032.68248624,False,,12,,,,2024-11-08T23:49:00.000Z,28.63931600560106,436222956.808449,-9.1875,0.2450384,4.19491989,15.60345196,10.99542569,19.71292519,32.75646491,11664247334.149656,0.4515,20498553744.05,,2024-11-08T23:49:00.000Z,,,,,,2024-11-08 15:51:03.432661
5994,Shiba Inu,SHIB,shiba-inu,898,2020-08-01T00:00:00.000Z,"['memes', 'ethereum-ecosystem', 'doggone-doggerel']",,589261142313720.0,589512529909846.9,False,,13,,,,2024-11-08T23:49:00.000Z,1.9020929167986663e-05,595237526.5284203,-3.1078,-0.44695586,-0.96688264,8.22060712,12.19990891,40.38139401,35.05608855,11208294449.396177,0.4338,11213076075.06,,2024-11-08T23:49:00.000Z,1027.0,Ethereum,ETH,ethereum,0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce,2024-11-08 15:51:03.432661
1975,Chainlink,LINK,chainlink,1873,2017-09-20T00:00:00.000Z,"['platform', 'defi', 'oracles', 'smart-contracts', 'substrate', 'polkadot', 'avalanche-ecosystem', 'solana-ecosystem', 'framework-ventures-portfolio', 'polygon-ecosystem', 'fantom-ecosystem', 'cardano-ecosystem', 'web3', 'near-protocol-ecosystem', 'arbitrum-ecosytem', 'cardano', 'injective-ecosystem', 'optimism-ecosystem', 'real-world-assets', 'celsius-bankruptcy-estate']",,626849970.4527867,1000000000.0,False,,14,,,,2024-11-08T23:49:00.000Z,13.69711391056703,591109255.2523764,41.2817,0.34005771,8.38396894,21.61299634,30.00500152,29.59248563,29.83573963,8586035450.127396,0.3324,13697113910.57,,2024-11-08T23:49:00.000Z,1027.0,Ethereum,ETH,ethereum,0x514910771af9ca656af840dff83e8264ecf986ca,2024-11-08 15:51:03.432661
1831,Bitcoin Cash,BCH,bitcoin-cash,943,2017-07-23T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'marketplace', 'medium-of-exchange', 'store-of-value', 'enterprise-solutions', 'payments', 'bitcoin-ecosystem', 'layer-1']",21000000.0,19785640.625,19785640.625,False,,15,,,,2024-11-08T23:49:00.000Z,377.3940852908904,390378406.93356806,8.3457,-0.3759825,-0.25626119,7.96985863,17.64637103,16.88862198,6.56188014,7466983745.566156,0.289,7925275791.11,,2024-11-08T23:49:00.000Z,,,,,,2024-11-08 15:51:03.432661
1,Bitcoin,BTC,bitcoin,11797,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'ftx-bankruptcy-estate']",21000000.0,19779659.0,19779659.0,False,,1,,,,2024-11-08T23:50:00.000Z,76527.52132895219,55229489300.57706,-12.9613,0.08977649,0.68041771,10.18772114,26.16166959,33.99030976,25.7400661,1513688276001.9011,58.5901,1607077947908.0,,2024-11-08T23:50:00.000Z,,,,,,2024-11-08 15:52:04.732675
1027,Ethereum,ETH,ethereum,9496,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'layer-1', 'ftx-bankruptcy-estate']",,120420137.42596878,120420137.42596878,True,,2,,,,2024-11-08T23:50:00.000Z,2958.5041846523864,32329193899.710743,-8.444,-0.0691784,2.10413818,17.76596177,24.82580071,25.21213322,13.46622603,356263480491.1441,13.7898,356263480491.14,,2024-11-08T23:50:00.000Z,,,,,,2024-11-08 15:52:04.732675
825,Tether USDt,USDT,tether,102687,2015-02-25T00:00:00.000Z,"['stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem', 'fiat-stablecoin']",,121953737784.44606,122836276400.68143,True,,3,,,,2024-11-08T23:50:00.000Z,1.0005289477096522,102182417771.92151,-9.6974,0.02630592,-0.02294366,0.10881015,0.14165137,0.03266256,0.03198674,122018244934.73067,4.7229,122901250367.75,,2024-11-08T23:50:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2024-11-08 15:52:04.732675
5426,Solana,SOL,solana,779,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okx-ventures-portfolio', 'layer-1', 'ftx-bankruptcy-estate', 'sec-security-token', 'alleged-sec-securities', 'cmc-crypto-awards-2024']",,471675669.8073656,588092243.8797209,True,,4,,,,2024-11-08T23:50:00.000Z,199.90695890090606,5676308214.814791,20.8853,0.54102961,1.92527182,20.26901849,43.33873768,48.05784459,29.93904813,94291248738.73837,3.6499,117563732027.2,,2024-11-08T23:50:00.000Z,,,,,,2024-11-08 15:52:04.732675
1839,BNB,BNB,bnb,2274,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain', 'layer-1', 'sec-security-token', 'alleged-sec-securities', 'celsius-bankruptcy-estate']",,144099503.30320057,144099503.30320057,False,,5,,,,2024-11-08T23:50:00.000Z,597.3125400104356,1873260265.1996794,-5.0495,0.16522889,-0.26668422,4.34185436,4.66881955,14.9518742,14.11917298,86072440332.27689,3.3318,86072440332.28,,2024-11-08T23:50:00.000Z,,,,,,2024-11-08 15:52:04.732675
3408,USDC,USDC,usd-coin,22913,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'coinbase-ventures-portfolio', 'solana-ecosystem', 'hedera-hashgraph-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem', 'base-ecosystem', 'fiat-stablecoin']",,37188016366.87872,37188016366.87872,False,,6,,,,2024-11-08T23:50:00.000Z,0.9997527806424165,9906833936.386616,-13.7584,0.02049275,-0.02623475,-0.01432082,-0.01342658,-0.0223371,-0.02104219,37178822769.36269,1.4391,37178822769.36,,2024-11-08T23:50:00.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2024-11-08 15:52:04.732675
52,XRP,XRP,xrp,1414,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'ftx-bankruptcy-estate']",100000000000.0,56868662755.0,99987041380.0,False,,7,,,,2024-11-08T23:50:00.000Z,0.5537115944584119,1496092174.8854485,-20.8605,-0.00132488,-0.23621541,7.95965399,5.4696918,2.53229125,-5.45676377,31488837928.788754,1.2189,55371159445.84,,2024-11-08T23:50:00.000Z,,,,,,2024-11-08 15:52:04.732675
74,Dogecoin,DOGE,dogecoin,1093,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'bnb-chain', 'ftx-bankruptcy-estate']",,146711956383.70517,146711946383.70523,True,,8,,,,2024-11-08T23:50:00.000Z,0.20187745661925305,4079333099.2986946,-6.4595,-0.68402817,4.26067576,26.82172489,86.73796587,94.20744586,92.11395759,29617836610.377186,1.1464,29617834591.6,,2024-11-08T23:50:00.000Z,,,,,,2024-11-08 15:52:04.732675
2010,Cardano,ADA,cardano,1332,2017-10-01T00:00:00.000Z,"['dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano', 'layer-1', 'sec-security-token', 'alleged-sec-securities']",45000000000.0,35002992145.92666,44994999104.86697,False,,9,,,,2024-11-08T23:50:00.000Z,0.44446079593001325,1445232914.3647215,135.9387,-0.06498216,10.36937864,24.58218796,30.81730719,29.31182987,28.32451975,15557457749.110565,0.6021,20000735816.85,,2024-11-08T23:50:00.000Z,,,,,,2024-11-08 15:52:04.732675
1958,TRON,TRX,tron,1064,2017-09-13T00:00:00.000Z,"['media', 'payments', 'tron-ecosystem', 'layer-1', 'dwf-labs-portfolio', 'sec-security-token', 'alleged-sec-securities']",,86421800273.257,86421795349.85371,True,,10,71659659264.0,11535457552.271328,,2024-11-08T23:50:00.000Z,0.1609756126494234,306974200.6759394,-31.6639,-0.08427448,0.36110065,-3.78390506,0.30870507,4.18918228,24.6266885,13911802245.253653,0.5385,13911801452.71,,2024-11-08T23:50:00.000Z,,,,,,2024-11-08 15:52:04.732675
11419,Toncoin,TON,toncoin,592,2021-08-26T13:40:22.000Z,"['pos', 'layer-1', 'ftx-bankruptcy-estate', 'dwf-labs-portfolio', 'toncoin-ecosystem']",,2544830876.014811,5114836745.92401,True,,11,3414166606.0,16821992926.728437,,2024-11-08T23:50:00.000Z,4.92711541878646,221157564.95068642,-33.1915,0.24770247,0.18912907,0.68759023,-2.86950551,-5.79016869,-26.33278256,12538675447.41643,0.4853,25201390995.42,,2024-11-08T23:50:00.000Z,,,,,,2024-11-08 15:52:04.732675
5805,Avalanche,AVAX,avalanche,798,2020-07-13T00:00:00.000Z,"['defi', 'smart-contracts', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'avalanche-ecosystem', 'cms-holdings-portfolio', 'dragonfly-capital-portfolio', 'real-world-assets', 'layer-1']",715748719.0,407280932.68248624,447284032.68248624,False,,12,,,,2024-11-08T23:50:00.000Z,28.643855179671068,436233064.6270896,-9.1799,0.25627273,4.24335205,15.61800971,10.99973287,19.74299954,32.77120411,11666096053.198496,0.4516,20501802652.07,,2024-11-08T23:50:00.000Z,,,,,,2024-11-08 15:52:04.732675
5994,Shiba Inu,SHIB,shiba-inu,898,2020-08-01T00:00:00.000Z,"['memes', 'ethereum-ecosystem', 'doggone-doggerel']",,589261142313720.0,589512529909846.9,False,,13,,,,2024-11-08T23:50:00.000Z,1.9024726580468205e-05,595237526.5284203,-3.1406,-0.41005087,-0.95844174,8.2372805,12.22274707,40.41626797,35.08733575,11210532117.012886,0.4339,11215314697.29,,2024-11-08T23:50:00.000Z,1027.0,Ethereum,ETH,ethereum,0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce,2024-11-08 15:52:04.732675
1975,Chainlink,LINK,chainlink,1873,2017-09-20T00:00:00.000Z,"['platform', 'defi', 'oracles', 'smart-contracts', 'substrate', 'polkadot', 'avalanche-ecosystem', 'solana-ecosystem', 'framework-ventures-portfolio', 'polygon-ecosystem', 'fantom-ecosystem', 'cardano-ecosystem', 'web3', 'near-protocol-ecosystem', 'arbitrum-ecosytem', 'cardano', 'injective-ecosystem', 'optimism-ecosystem', 'real-world-assets', 'celsius-bankruptcy-estate']",,626849970.4527867,1000000000.0,False,,14,,,,2024-11-08T23:50:00.000Z,13.700891072830713,591384326.799558,41.2222,0.34940892,8.4187426,21.65522204,30.02376948,29.63897586,29.86987602,8588403164.180781,0.3324,13700891072.83,,2024-11-08T23:50:00.000Z,1027.0,Ethereum,ETH,ethereum,0x514910771af9ca656af840dff83e8264ecf986ca,2024-11-08 15:52:04.732675
1831,Bitcoin Cash,BCH,bitcoin-cash,943,2017-07-23T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'marketplace', 'medium-of-exchange', 'store-of-value', 'enterprise-solutions', 'payments', 'bitcoin-ecosystem', 'layer-1']",21000000.0,19785640.625,19785640.625,False,,15,,,,2024-11-08T23:50:00.000Z,377.43685802015705,390376286.83183175,8.3202,-0.35232528,-0.21693699,7.97914462,17.64792055,16.91428634,6.56801195,7467830031.415977,0.2891,7926174018.42,,2024-11-08T23:50:00.000Z,,,,,,2024-11-08 15:52:04.732675
